Feature,Occurence
151,35
160,29
80,24
100,24
158,24
27,23
165,22
26,21
29,21
32,21
40,21
91,21
162,21
18,20
37,20
38,20
43,20
58,20
94,20
145,20
161,20
163,20
168,20
6,19
15,19
20,19
31,19
49,19
62,19
64,19
82,19
147,19
157,19
4,18
7,18
33,18
34,18
66,18
106,18
111,18
123,18
131,18
139,18
140,18
144,18
166,18
167,18
2,17
16,17
35,17
48,17
55,17
60,17
69,17
81,17
85,17
89,17
93,17
95,17
103,17
113,17
120,17
128,17
136,17
148,17
164,17
0,16
24,16
25,16
46,16
52,16
53,16
57,16
73,16
76,16
87,16
92,16
101,16
104,16
109,16
118,16
121,16
126,16
153,16
9,15
10,15
17,15
22,15
28,15
30,15
36,15
41,15
50,15
51,15
54,15
65,15
67,15
75,15
108,15
110,15
112,15
130,15
134,15
141,15
152,15
5,14
11,14
12,14
13,14
14,14
19,14
23,14
42,14
44,14
45,14
59,14
70,14
74,14
77,14
79,14
84,14
90,14
97,14
99,14
102,14
122,14
124,14
125,14
129,14
132,14
137,14
146,14
149,14
150,14
154,14
1,13
3,13
21,13
47,13
56,13
68,13
71,13
105,13
114,13
119,13
127,13
133,13
142,13
155,13
39,12
63,12
83,12
88,12
98,12
107,12
138,12
159,12
8,11
61,11
72,11
96,11
115,11
116,11
117,11
156,11
78,10
135,10
86,9
143,8
169,0
