,Feature,Occurence(s),Probability
0,151,35,0.875
1,160,29,0.725
2,80,24,0.6
3,100,24,0.6
4,158,24,0.6
5,27,23,0.575
6,165,22,0.55
7,26,21,0.525
8,29,21,0.525
9,32,21,0.525
10,40,21,0.525
11,91,21,0.525
12,162,21,0.525
13,18,20,0.5
14,37,20,0.5
15,38,20,0.5
16,43,20,0.5
17,58,20,0.5
18,94,20,0.5
19,145,20,0.5
20,161,20,0.5
21,163,20,0.5
22,168,20,0.5
23,6,19,0.475
24,15,19,0.475
25,20,19,0.475
26,31,19,0.475
27,49,19,0.475
28,62,19,0.475
29,64,19,0.475
30,82,19,0.475
31,147,19,0.475
32,157,19,0.475
33,4,18,0.45
34,7,18,0.45
35,33,18,0.45
36,34,18,0.45
37,66,18,0.45
38,106,18,0.45
39,111,18,0.45
40,123,18,0.45
41,131,18,0.45
42,139,18,0.45
43,140,18,0.45
44,144,18,0.45
45,166,18,0.45
46,167,18,0.45
47,2,17,0.425
48,16,17,0.425
49,35,17,0.425
50,48,17,0.425
51,55,17,0.425
52,60,17,0.425
53,69,17,0.425
54,81,17,0.425
55,85,17,0.425
56,89,17,0.425
57,93,17,0.425
58,95,17,0.425
59,103,17,0.425
60,113,17,0.425
61,120,17,0.425
62,128,17,0.425
63,136,17,0.425
64,148,17,0.425
65,164,17,0.425
66,0,16,0.4
67,24,16,0.4
68,25,16,0.4
69,46,16,0.4
70,52,16,0.4
71,53,16,0.4
72,57,16,0.4
73,73,16,0.4
74,76,16,0.4
75,87,16,0.4
76,92,16,0.4
77,101,16,0.4
78,104,16,0.4
79,109,16,0.4
80,118,16,0.4
81,121,16,0.4
82,126,16,0.4
83,153,16,0.4
84,9,15,0.375
85,10,15,0.375
86,17,15,0.375
87,22,15,0.375
88,28,15,0.375
89,30,15,0.375
90,36,15,0.375
91,41,15,0.375
92,50,15,0.375
93,51,15,0.375
94,54,15,0.375
95,65,15,0.375
96,67,15,0.375
97,75,15,0.375
98,108,15,0.375
99,110,15,0.375
100,112,15,0.375
101,130,15,0.375
102,134,15,0.375
103,141,15,0.375
104,152,15,0.375
105,5,14,0.35
106,11,14,0.35
107,12,14,0.35
108,13,14,0.35
109,14,14,0.35
110,19,14,0.35
111,23,14,0.35
112,42,14,0.35
113,44,14,0.35
114,45,14,0.35
115,59,14,0.35
116,70,14,0.35
117,74,14,0.35
118,77,14,0.35
119,79,14,0.35
120,84,14,0.35
121,90,14,0.35
122,97,14,0.35
123,99,14,0.35
124,102,14,0.35
125,122,14,0.35
126,124,14,0.35
127,125,14,0.35
128,129,14,0.35
129,132,14,0.35
130,137,14,0.35
131,146,14,0.35
132,149,14,0.35
133,150,14,0.35
134,154,14,0.35
135,1,13,0.325
136,3,13,0.325
137,21,13,0.325
138,47,13,0.325
139,56,13,0.325
140,68,13,0.325
141,71,13,0.325
142,105,13,0.325
143,114,13,0.325
144,119,13,0.325
145,127,13,0.325
146,133,13,0.325
147,142,13,0.325
148,155,13,0.325
149,39,12,0.3
150,63,12,0.3
151,83,12,0.3
152,88,12,0.3
153,98,12,0.3
154,107,12,0.3
155,138,12,0.3
156,159,12,0.3
157,8,11,0.275
158,61,11,0.275
159,72,11,0.275
160,96,11,0.275
161,115,11,0.275
162,116,11,0.275
163,117,11,0.275
164,156,11,0.275
165,78,10,0.25
166,135,10,0.25
167,86,9,0.225
168,143,8,0.2
