,Feature,Occurence(s),Probability
0,27,5,1.0
1,151,4,0.8
2,9,3,0.6
3,80,3,0.6
4,148,3,0.6
5,158,3,0.6
6,10,2,0.4
7,12,2,0.4
8,14,2,0.4
9,45,2,0.4
10,53,2,0.4
11,69,2,0.4
12,88,2,0.4
13,91,2,0.4
14,103,2,0.4
15,113,2,0.4
16,120,2,0.4
17,130,2,0.4
18,137,2,0.4
19,144,2,0.4
20,145,2,0.4
21,146,2,0.4
22,150,2,0.4
23,160,2,0.4
24,161,2,0.4
25,3,1,0.2
26,4,1,0.2
27,5,1,0.2
28,8,1,0.2
29,11,1,0.2
30,15,1,0.2
31,16,1,0.2
32,28,1,0.2
33,30,1,0.2
34,32,1,0.2
35,33,1,0.2
36,34,1,0.2
37,38,1,0.2
38,41,1,0.2
39,42,1,0.2
40,47,1,0.2
41,51,1,0.2
42,62,1,0.2
43,64,1,0.2
44,66,1,0.2
45,67,1,0.2
46,82,1,0.2
47,94,1,0.2
48,95,1,0.2
49,99,1,0.2
50,100,1,0.2
51,101,1,0.2
52,104,1,0.2
53,110,1,0.2
54,111,1,0.2
55,115,1,0.2
56,121,1,0.2
57,122,1,0.2
58,123,1,0.2
59,124,1,0.2
60,125,1,0.2
61,129,1,0.2
62,133,1,0.2
63,138,1,0.2
64,142,1,0.2
65,147,1,0.2
66,149,1,0.2
67,155,1,0.2
68,156,1,0.2
69,157,1,0.2
70,162,1,0.2
71,163,1,0.2
72,165,1,0.2
73,0,0,0.0
74,1,0,0.0
75,2,0,0.0
76,6,0,0.0
77,7,0,0.0
78,13,0,0.0
79,17,0,0.0
80,18,0,0.0
81,19,0,0.0
82,20,0,0.0
83,21,0,0.0
84,22,0,0.0
85,23,0,0.0
86,24,0,0.0
87,25,0,0.0
88,26,0,0.0
89,29,0,0.0
90,31,0,0.0
91,35,0,0.0
92,36,0,0.0
93,37,0,0.0
94,39,0,0.0
95,40,0,0.0
96,43,0,0.0
97,44,0,0.0
98,46,0,0.0
99,48,0,0.0
100,49,0,0.0
101,50,0,0.0
102,52,0,0.0
103,54,0,0.0
104,55,0,0.0
105,56,0,0.0
106,57,0,0.0
107,58,0,0.0
108,59,0,0.0
109,60,0,0.0
110,61,0,0.0
111,63,0,0.0
112,65,0,0.0
113,68,0,0.0
114,70,0,0.0
115,71,0,0.0
116,72,0,0.0
117,73,0,0.0
118,74,0,0.0
119,75,0,0.0
120,76,0,0.0
121,77,0,0.0
122,78,0,0.0
123,79,0,0.0
124,81,0,0.0
125,83,0,0.0
126,84,0,0.0
127,85,0,0.0
128,86,0,0.0
129,87,0,0.0
130,89,0,0.0
131,90,0,0.0
132,92,0,0.0
133,93,0,0.0
134,96,0,0.0
135,97,0,0.0
136,98,0,0.0
137,102,0,0.0
138,105,0,0.0
139,106,0,0.0
140,107,0,0.0
141,108,0,0.0
142,109,0,0.0
143,112,0,0.0
144,114,0,0.0
145,116,0,0.0
146,117,0,0.0
147,118,0,0.0
148,119,0,0.0
149,126,0,0.0
150,127,0,0.0
151,128,0,0.0
152,131,0,0.0
153,132,0,0.0
154,134,0,0.0
155,135,0,0.0
156,136,0,0.0
157,139,0,0.0
158,140,0,0.0
159,141,0,0.0
160,143,0,0.0
161,152,0,0.0
162,153,0,0.0
163,154,0,0.0
164,159,0,0.0
165,164,0,0.0
166,166,0,0.0
167,167,0,0.0
168,168,0,0.0
169,169,0,0.0
