,Feature,Occurence(s),Probability,Probability in SFS,Probability in SBS
2,151,9,0.9,1.0,0.8
0,20,5,0.5,1.0,0.0
125,27,5,0.5,0.0,1.0
1,37,5,0.5,1.0,0.0
7,32,5,0.5,0.8,0.2
8,34,5,0.5,0.8,0.2
13,111,5,0.5,0.8,0.2
11,50,4,0.4,0.8,0.0
80,80,4,0.4,0.2,0.6
23,64,4,0.4,0.6,0.2
12,55,4,0.4,0.8,0.0
59,160,4,0.4,0.4,0.4
10,43,4,0.4,0.8,0.0
5,29,4,0.4,0.8,0.0
6,31,4,0.4,0.8,0.0
4,26,4,0.4,0.8,0.0
9,40,4,0.4,0.8,0.0
3,7,4,0.4,0.8,0.0
72,53,3,0.3,0.2,0.4
158,148,3,0.3,0.0,0.6
165,158,3,0.3,0.0,0.6
55,121,3,0.3,0.4,0.2
30,41,3,0.3,0.4,0.2
86,91,3,0.3,0.2,0.4
90,103,3,0.3,0.2,0.4
48,100,3,0.3,0.4,0.2
45,94,3,0.3,0.4,0.2
105,145,3,0.3,0.2,0.4
108,161,3,0.3,0.2,0.4
39,82,3,0.3,0.4,0.2
24,114,3,0.3,0.6,0.0
117,9,3,0.3,0.0,0.6
21,58,3,0.3,0.6,0.0
20,52,3,0.3,0.6,0.0
25,140,3,0.3,0.6,0.0
19,49,3,0.3,0.6,0.0
18,48,3,0.3,0.6,0.0
22,60,3,0.3,0.6,0.0
17,46,3,0.3,0.6,0.0
16,24,3,0.3,0.6,0.0
27,3,3,0.3,0.4,0.2
15,23,3,0.3,0.6,0.0
14,18,3,0.3,0.6,0.0
74,62,2,0.2,0.2,0.2
146,120,2,0.2,0.0,0.4
156,144,2,0.2,0.0,0.4
152,137,2,0.2,0.0,0.4
71,42,2,0.2,0.2,0.2
150,130,2,0.2,0.0,0.4
157,146,2,0.2,0.0,0.4
122,14,2,0.2,0.0,0.4
88,99,2,0.2,0.2,0.2
120,12,2,0.2,0.0,0.4
91,104,2,0.2,0.2,0.2
143,113,2,0.2,0.0,0.4
95,122,2,0.2,0.2,0.2
96,125,2,0.2,0.2,0.2
139,88,2,0.2,0.0,0.4
136,69,2,0.2,0.0,0.4
103,142,2,0.2,0.2,0.2
160,150,2,0.2,0.0,0.4
106,147,2,0.2,0.2,0.2
107,156,2,0.2,0.2,0.2
109,162,2,0.2,0.2,0.2
110,163,2,0.2,0.2,0.2
129,45,2,0.2,0.0,0.4
69,38,2,0.2,0.2,0.2
118,10,2,0.2,0.0,0.4
53,116,2,0.2,0.4,0.0
33,63,2,0.2,0.4,0.0
36,75,2,0.2,0.4,0.0
43,92,2,0.2,0.4,0.0
44,93,2,0.2,0.4,0.0
35,74,2,0.2,0.4,0.0
66,33,2,0.2,0.2,0.2
46,97,2,0.2,0.4,0.0
47,98,2,0.2,0.4,0.0
49,105,2,0.2,0.4,0.0
34,73,2,0.2,0.4,0.0
50,107,2,0.2,0.4,0.0
51,108,2,0.2,0.4,0.0
52,109,2,0.2,0.4,0.0
40,86,2,0.2,0.4,0.0
32,59,2,0.2,0.4,0.0
41,87,2,0.2,0.4,0.0
37,77,2,0.2,0.4,0.0
54,118,2,0.2,0.4,0.0
56,126,2,0.2,0.4,0.0
38,79,2,0.2,0.4,0.0
57,134,2,0.2,0.4,0.0
31,56,2,0.2,0.4,0.0
58,153,2,0.2,0.4,0.0
29,17,2,0.2,0.4,0.0
28,6,2,0.2,0.4,0.0
61,4,2,0.2,0.2,0.2
62,15,2,0.2,0.2,0.2
63,16,2,0.2,0.2,0.2
26,2,2,0.2,0.4,0.0
42,90,2,0.2,0.4,0.0
163,155,1,0.1,0.0,0.2
127,30,1,0.1,0.0,0.2
126,28,1,0.1,0.0,0.2
130,47,1,0.1,0.0,0.2
142,110,1,0.1,0.0,0.2
131,51,1,0.1,0.0,0.2
134,66,1,0.1,0.0,0.2
135,67,1,0.1,0.0,0.2
140,95,1,0.1,0.0,0.2
141,101,1,0.1,0.0,0.2
144,115,1,0.1,0.0,0.2
147,123,1,0.1,0.0,0.2
148,124,1,0.1,0.0,0.2
149,129,1,0.1,0.0,0.2
151,133,1,0.1,0.0,0.2
153,138,1,0.1,0.0,0.2
119,11,1,0.1,0.0,0.2
168,165,1,0.1,0.0,0.2
159,149,1,0.1,0.0,0.2
164,157,1,0.1,0.0,0.2
85,89,1,0.1,0.2,0.0
116,8,1,0.1,0.0,0.2
98,128,1,0.1,0.2,0.0
94,119,1,0.1,0.2,0.0
93,112,1,0.1,0.2,0.0
92,106,1,0.1,0.2,0.0
89,102,1,0.1,0.2,0.0
68,36,1,0.1,0.2,0.0
87,96,1,0.1,0.2,0.0
84,85,1,0.1,0.2,0.0
83,84,1,0.1,0.2,0.0
82,83,1,0.1,0.2,0.0
81,81,1,0.1,0.2,0.0
79,78,1,0.1,0.2,0.0
78,71,1,0.1,0.2,0.0
77,70,1,0.1,0.2,0.0
70,39,1,0.1,0.2,0.0
73,54,1,0.1,0.2,0.0
97,127,1,0.1,0.2,0.0
76,68,1,0.1,0.2,0.0
75,65,1,0.1,0.2,0.0
104,143,1,0.1,0.2,0.0
115,5,1,0.1,0.0,0.2
60,1,1,0.1,0.2,0.0
113,168,1,0.1,0.2,0.0
112,167,1,0.1,0.2,0.0
64,22,1,0.1,0.2,0.0
111,166,1,0.1,0.2,0.0
102,136,1,0.1,0.2,0.0
65,25,1,0.1,0.2,0.0
67,35,1,0.1,0.2,0.0
101,135,1,0.1,0.2,0.0
100,132,1,0.1,0.2,0.0
99,131,1,0.1,0.2,0.0
162,154,0,0.0,0.0,0.0
166,159,0,0.0,0.0,0.0
167,164,0,0.0,0.0,0.0
161,152,0,0.0,0.0,0.0
145,117,0,0.0,0.0,0.0
155,141,0,0.0,0.0,0.0
154,139,0,0.0,0.0,0.0
121,13,0,0.0,0.0,0.0
138,76,0,0.0,0.0,0.0
137,72,0,0.0,0.0,0.0
133,61,0,0.0,0.0,0.0
132,57,0,0.0,0.0,0.0
128,44,0,0.0,0.0,0.0
114,0,0,0.0,0.0,0.0
124,21,0,0.0,0.0,0.0
123,19,0,0.0,0.0,0.0
