Feature,Total Frequency,Frequency using SFS,Frequency using SBS
151,1.0,1.0,1.0
80,0.9,1.0,0.8
100,0.9,0.8,1.0
160,0.9,0.8,1.0
0,0.9,1.0,0.8
62,0.9,1.0,0.8
96,0.9,1.0,0.8
109,0.9,1.0,0.8
157,0.9,1.0,0.8
158,0.9,1.0,0.8
113,0.8,0.6,1.0
145,0.8,1.0,0.6
91,0.8,0.8,0.8
11,0.8,0.8,0.8
53,0.8,0.8,0.8
68,0.8,0.8,0.8
112,0.8,0.8,0.8
117,0.8,0.8,0.8
150,0.8,0.8,0.8
165,0.8,1.0,0.6
129,0.7,0.6,0.8
163,0.7,0.8,0.6
7,0.7,0.6,0.8
15,0.7,0.8,0.6
16,0.7,0.8,0.6
22,0.7,0.8,0.6
24,0.7,0.6,0.8
26,0.7,0.8,0.6
29,0.7,0.8,0.6
34,0.7,1.0,0.4
48,0.7,0.8,0.6
59,0.7,0.6,0.8
70,0.7,0.6,0.8
98,0.7,0.6,0.8
104,0.7,0.6,0.8
108,0.7,1.0,0.4
114,0.7,0.4,1.0
127,0.7,0.8,0.6
131,0.7,0.8,0.6
139,0.7,0.6,0.8
149,0.7,0.8,0.6
166,0.7,1.0,0.4
154,0.6000000000000001,0.8,0.4
23,0.6000000000000001,0.8,0.4
27,0.6000000000000001,0.8,0.4
28,0.6000000000000001,0.8,0.4
37,0.6000000000000001,0.4,0.8
52,0.6000000000000001,0.4,0.8
64,0.6000000000000001,0.4,0.8
74,0.6000000000000001,0.8,0.4
76,0.6000000000000001,0.8,0.4
78,0.6000000000000001,0.8,0.4
81,0.6000000000000001,0.8,0.4
94,0.6000000000000001,0.4,0.8
106,0.6000000000000001,0.8,0.4
118,0.6000000000000001,0.8,0.4
119,0.6000000000000001,0.8,0.4
128,0.6000000000000001,0.4,0.8
135,0.6000000000000001,0.8,0.4
152,0.6000000000000001,0.8,0.4
161,0.6000000000000001,0.8,0.4
146,0.6,0.6,0.6
69,0.6,0.6,0.6
2,0.6,0.6,0.6
4,0.6,0.6,0.6
6,0.6,0.6,0.6
10,0.6,0.6,0.6
19,0.6,0.6,0.6
33,0.6,1.0,0.2
35,0.6,0.6,0.6
42,0.6,0.6,0.6
44,0.6,0.6,0.6
54,0.6,0.6,0.6
65,0.6,0.6,0.6
84,0.6,0.6,0.6
89,0.6,0.6,0.6
110,0.6,0.6,0.6
115,0.6,0.6,0.6
130,0.6,0.6,0.6
132,0.6,0.6,0.6
1,0.5,0.6,0.4
5,0.5,0.4,0.6
25,0.5,0.6,0.4
39,0.5,0.8,0.2
46,0.5,0.6,0.4
50,0.5,0.8,0.2
55,0.5,0.6,0.4
56,0.5,0.2,0.8
58,0.5,1.0,0.0
60,0.5,0.8,0.2
66,0.5,0.4,0.6
73,0.5,0.4,0.6
75,0.5,0.6,0.4
77,0.5,0.6,0.4
79,0.5,0.6,0.4
90,0.5,0.8,0.2
93,0.5,0.4,0.6
97,0.5,0.6,0.4
105,0.5,0.6,0.4
107,0.5,0.4,0.6
116,0.5,0.6,0.4
120,0.5,0.6,0.4
125,0.5,0.2,0.8
126,0.5,0.8,0.2
133,0.5,0.2,0.8
136,0.5,0.6,0.4
140,0.5,0.4,0.6
142,0.5,0.6,0.4
143,0.5,0.6,0.4
148,0.5,0.6,0.4
155,0.5,0.6,0.4
164,0.5,0.6,0.4
168,0.5,0.8,0.2
9,0.4,0.6,0.2
47,0.4,0.4,0.4
137,0.4,0.4,0.4
3,0.4,0.6,0.2
12,0.4,0.4,0.4
13,0.4,0.6,0.2
17,0.4,0.6,0.2
18,0.4,0.2,0.6
30,0.4,0.4,0.4
31,0.4,0.4,0.4
32,0.4,0.4,0.4
36,0.4,0.6,0.2
40,0.4,0.8,0.0
41,0.4,0.4,0.4
43,0.4,0.6,0.2
45,0.4,0.2,0.6
49,0.4,0.4,0.4
61,0.4,0.4,0.4
71,0.4,0.2,0.6
86,0.4,0.6,0.2
87,0.4,0.4,0.4
92,0.4,0.4,0.4
102,0.4,0.4,0.4
111,0.4,0.2,0.6
121,0.4,0.2,0.6
124,0.4,0.2,0.6
138,0.4,0.4,0.4
144,0.4,0.6,0.2
153,0.4,0.6,0.2
159,0.4,0.4,0.4
162,0.4,0.4,0.4
8,0.30000000000000004,0.2,0.4
20,0.30000000000000004,0.4,0.2
21,0.30000000000000004,0.4,0.2
38,0.30000000000000004,0.2,0.4
51,0.30000000000000004,0.4,0.2
63,0.30000000000000004,0.4,0.2
67,0.30000000000000004,0.4,0.2
83,0.30000000000000004,0.4,0.2
85,0.30000000000000004,0.2,0.4
95,0.30000000000000004,0.4,0.2
99,0.30000000000000004,0.4,0.2
101,0.30000000000000004,0.4,0.2
103,0.30000000000000004,0.2,0.4
123,0.30000000000000004,0.4,0.2
134,0.30000000000000004,0.2,0.4
141,0.30000000000000004,0.4,0.2
156,0.30000000000000004,0.4,0.2
167,0.30000000000000004,0.4,0.2
82,0.3,0.6,0.0
147,0.3,0.6,0.0
57,0.2,0.2,0.2
72,0.2,0.4,0.0
88,0.2,0.2,0.2
14,0.1,0.2,0.0
122,0.1,0.2,0.0
