Feature,Total Frequency,Frequency using SFS,Frequency using SBS
151,1.0,1.0,1.0
80,0.9,1.0,0.8
100,0.9,1.0,0.8
23,0.9,1.0,0.8
24,0.9,1.0,0.8
72,0.9,0.8,1.0
73,0.9,0.8,1.0
94,0.9,1.0,0.8
111,0.9,0.8,1.0
166,0.9,1.0,0.8
160,0.8,0.8,0.8
47,0.8,0.6,1.0
2,0.8,0.8,0.8
6,0.8,0.8,0.8
15,0.8,0.8,0.8
16,0.8,0.8,0.8
29,0.8,0.8,0.8
36,0.8,0.8,0.8
42,0.8,1.0,0.6
44,0.8,1.0,0.6
45,0.8,0.8,0.8
46,0.8,0.6,1.0
54,0.8,1.0,0.6
56,0.8,0.8,0.8
58,0.8,1.0,0.6
60,0.8,0.8,0.8
78,0.8,0.8,0.8
85,0.8,0.8,0.8
89,0.8,1.0,0.6
92,0.8,0.8,0.8
98,0.8,0.8,0.8
106,0.8,1.0,0.6
112,0.8,1.0,0.6
117,0.8,0.8,0.8
127,0.8,1.0,0.6
128,0.8,1.0,0.6
131,0.8,0.8,0.8
135,0.8,1.0,0.6
141,0.8,0.8,0.8
142,0.8,1.0,0.6
9,0.7,0.8,0.6
145,0.7,0.6,0.8
69,0.7,0.8,0.6
91,0.7,0.4,1.0
137,0.7,0.8,0.6
7,0.7,0.8,0.6
11,0.7,0.8,0.6
17,0.7,0.8,0.6
19,0.7,0.6,0.8
20,0.7,0.8,0.6
33,0.7,0.6,0.8
39,0.7,1.0,0.4
40,0.7,0.8,0.6
48,0.7,0.6,0.8
52,0.7,0.8,0.6
55,0.7,0.6,0.8
68,0.7,0.8,0.6
70,0.7,0.8,0.6
74,0.7,0.8,0.6
76,0.7,0.8,0.6
79,0.7,0.6,0.8
82,0.7,0.8,0.6
83,0.7,0.6,0.8
87,0.7,0.6,0.8
93,0.7,0.8,0.6
105,0.7,0.6,0.8
110,0.7,0.6,0.8
118,0.7,1.0,0.4
122,0.7,0.8,0.6
139,0.7,0.8,0.6
148,0.7,0.6,0.8
149,0.7,0.8,0.6
146,0.6000000000000001,0.4,0.8
1,0.6000000000000001,0.8,0.4
12,0.6000000000000001,0.4,0.8
28,0.6000000000000001,0.4,0.8
31,0.6000000000000001,0.4,0.8
38,0.6000000000000001,0.8,0.4
53,0.6000000000000001,0.8,0.4
90,0.6000000000000001,0.8,0.4
115,0.6000000000000001,0.4,0.8
140,0.6000000000000001,0.4,0.8
113,0.6,0.6,0.6
129,0.6,0.6,0.6
0,0.6,0.6,0.6
8,0.6,0.6,0.6
22,0.6,0.6,0.6
25,0.6,0.6,0.6
32,0.6,0.6,0.6
61,0.6,0.6,0.6
62,0.6,0.6,0.6
64,0.6,0.6,0.6
66,0.6,0.6,0.6
86,0.6,0.6,0.6
109,0.6,0.6,0.6
126,0.6,0.6,0.6
133,0.6,0.6,0.6
136,0.6,0.6,0.6
143,0.6,0.6,0.6
161,0.6,0.6,0.6
163,0.5,0.2,0.8
3,0.5,0.6,0.4
4,0.5,0.8,0.2
13,0.5,0.2,0.8
14,0.5,0.4,0.6
18,0.5,0.4,0.6
21,0.5,0.6,0.4
26,0.5,0.6,0.4
27,0.5,0.2,0.8
35,0.5,0.4,0.6
37,0.5,0.6,0.4
41,0.5,0.6,0.4
49,0.5,0.6,0.4
51,0.5,0.4,0.6
57,0.5,0.4,0.6
65,0.5,0.4,0.6
71,0.5,0.4,0.6
75,0.5,0.6,0.4
77,0.5,0.4,0.6
84,0.5,0.6,0.4
88,0.5,0.2,0.8
97,0.5,0.6,0.4
99,0.5,0.4,0.6
103,0.5,0.8,0.2
107,0.5,0.4,0.6
108,0.5,0.2,0.8
114,0.5,0.8,0.2
116,0.5,0.4,0.6
119,0.5,0.6,0.4
121,0.5,0.4,0.6
125,0.5,0.4,0.6
132,0.5,0.6,0.4
134,0.5,0.6,0.4
138,0.5,0.8,0.2
147,0.5,0.6,0.4
152,0.5,0.2,0.8
162,0.5,0.4,0.6
164,0.5,0.4,0.6
165,0.5,0.4,0.6
167,0.5,0.4,0.6
168,0.5,0.2,0.8
10,0.4,0.4,0.4
30,0.4,0.4,0.4
43,0.4,0.6,0.2
63,0.4,0.4,0.4
67,0.4,0.4,0.4
81,0.4,0.6,0.2
96,0.4,0.4,0.4
101,0.4,0.2,0.6
102,0.4,0.4,0.4
104,0.4,0.2,0.6
120,0.4,0.0,0.8
123,0.4,0.4,0.4
130,0.4,0.2,0.6
144,0.4,0.2,0.6
150,0.4,0.0,0.8
156,0.4,0.0,0.8
158,0.4,0.2,0.6
159,0.4,0.2,0.6
5,0.30000000000000004,0.2,0.4
50,0.30000000000000004,0.4,0.2
59,0.30000000000000004,0.2,0.4
95,0.30000000000000004,0.2,0.4
124,0.30000000000000004,0.4,0.2
155,0.30000000000000004,0.2,0.4
154,0.3,0.0,0.6
157,0.3,0.0,0.6
34,0.2,0.2,0.2
153,0.2,0.2,0.2
