,Feature,Occurence(s),Probability
0,26,5,1.0
1,80,5,1.0
2,157,5,1.0
3,166,5,1.0
4,0,4,0.8
5,6,4,0.8
6,8,4,0.8
7,15,4,0.8
8,17,4,0.8
9,27,4,0.8
10,31,4,0.8
11,35,4,0.8
12,36,4,0.8
13,40,4,0.8
14,43,4,0.8
15,44,4,0.8
16,45,4,0.8
17,51,4,0.8
18,53,4,0.8
19,54,4,0.8
20,57,4,0.8
21,58,4,0.8
22,60,4,0.8
23,62,4,0.8
24,64,4,0.8
25,65,4,0.8
26,66,4,0.8
27,68,4,0.8
28,71,4,0.8
29,76,4,0.8
30,81,4,0.8
31,84,4,0.8
32,89,4,0.8
33,93,4,0.8
34,106,4,0.8
35,123,4,0.8
36,127,4,0.8
37,128,4,0.8
38,129,4,0.8
39,131,4,0.8
40,133,4,0.8
41,136,4,0.8
42,140,4,0.8
43,145,4,0.8
44,147,4,0.8
45,153,4,0.8
46,158,4,0.8
47,160,4,0.8
48,165,4,0.8
49,168,4,0.8
50,3,3,0.6
51,4,3,0.6
52,5,3,0.6
53,7,3,0.6
54,10,3,0.6
55,16,3,0.6
56,19,3,0.6
57,22,3,0.6
58,23,3,0.6
59,29,3,0.6
60,30,3,0.6
61,32,3,0.6
62,37,3,0.6
63,38,3,0.6
64,39,3,0.6
65,41,3,0.6
66,42,3,0.6
67,48,3,0.6
68,56,3,0.6
69,59,3,0.6
70,61,3,0.6
71,70,3,0.6
72,73,3,0.6
73,77,3,0.6
74,82,3,0.6
75,86,3,0.6
76,90,3,0.6
77,91,3,0.6
78,95,3,0.6
79,97,3,0.6
80,99,3,0.6
81,100,3,0.6
82,102,3,0.6
83,103,3,0.6
84,104,3,0.6
85,107,3,0.6
86,108,3,0.6
87,110,3,0.6
88,111,3,0.6
89,112,3,0.6
90,113,3,0.6
91,117,3,0.6
92,118,3,0.6
93,119,3,0.6
94,120,3,0.6
95,124,3,0.6
96,125,3,0.6
97,134,3,0.6
98,135,3,0.6
99,138,3,0.6
100,139,3,0.6
101,141,3,0.6
102,142,3,0.6
103,144,3,0.6
104,146,3,0.6
105,151,3,0.6
106,152,3,0.6
107,159,3,0.6
108,162,3,0.6
109,167,3,0.6
110,1,2,0.4
111,2,2,0.4
112,9,2,0.4
113,11,2,0.4
114,12,2,0.4
115,13,2,0.4
116,14,2,0.4
117,21,2,0.4
118,24,2,0.4
119,25,2,0.4
120,28,2,0.4
121,33,2,0.4
122,34,2,0.4
123,47,2,0.4
124,52,2,0.4
125,55,2,0.4
126,63,2,0.4
127,69,2,0.4
128,72,2,0.4
129,74,2,0.4
130,78,2,0.4
131,79,2,0.4
132,83,2,0.4
133,85,2,0.4
134,87,2,0.4
135,88,2,0.4
136,92,2,0.4
137,94,2,0.4
138,98,2,0.4
139,101,2,0.4
140,105,2,0.4
141,109,2,0.4
142,114,2,0.4
143,115,2,0.4
144,116,2,0.4
145,122,2,0.4
146,126,2,0.4
147,130,2,0.4
148,137,2,0.4
149,148,2,0.4
150,149,2,0.4
151,150,2,0.4
152,154,2,0.4
153,155,2,0.4
154,156,2,0.4
155,161,2,0.4
156,163,2,0.4
157,164,2,0.4
158,18,1,0.2
159,20,1,0.2
160,46,1,0.2
161,49,1,0.2
162,50,1,0.2
163,67,1,0.2
164,75,1,0.2
165,96,1,0.2
166,121,1,0.2
167,132,1,0.2
168,143,1,0.2
169,169,0,0.0
