,Feature,Occurence(s),Probability overall,Probability in SFS,Probability in SBS
0,0,9,0.9,1.0,0.8
1,2,7,0.7,1.0,0.4
2,4,8,0.8,1.0,0.6
3,6,9,0.9,1.0,0.8
4,18,6,0.6,1.0,0.2
5,29,8,0.8,1.0,0.6
6,34,7,0.7,1.0,0.4
7,35,9,0.9,1.0,0.8
8,38,8,0.8,1.0,0.6
9,40,9,0.9,1.0,0.8
10,46,6,0.6,1.0,0.2
11,49,6,0.6,1.0,0.2
12,56,8,0.8,1.0,0.6
13,58,9,0.9,1.0,0.8
14,66,9,0.9,1.0,0.8
15,67,6,0.6,1.0,0.2
16,69,7,0.7,1.0,0.4
17,70,8,0.8,1.0,0.6
18,73,8,0.8,1.0,0.6
19,74,7,0.7,1.0,0.4
20,79,7,0.7,1.0,0.4
21,80,10,1.0,1.0,1.0
22,81,9,0.9,1.0,0.8
23,84,9,0.9,1.0,0.8
24,85,7,0.7,1.0,0.4
25,91,8,0.8,1.0,0.6
26,92,7,0.7,1.0,0.4
27,106,9,0.9,1.0,0.8
28,109,7,0.7,1.0,0.4
29,120,8,0.8,1.0,0.6
30,126,7,0.7,1.0,0.4
31,130,7,0.7,1.0,0.4
32,136,9,0.9,1.0,0.8
33,137,7,0.7,1.0,0.4
34,139,8,0.8,1.0,0.6
35,140,9,0.9,1.0,0.8
36,141,8,0.8,1.0,0.6
37,147,9,0.9,1.0,0.8
38,151,8,0.8,1.0,0.6
39,154,7,0.7,1.0,0.4
40,158,9,0.9,1.0,0.8
41,160,9,0.9,1.0,0.8
42,165,9,0.9,1.0,0.8
43,7,7,0.7,0.8,0.6
44,13,6,0.6,0.8,0.4
45,15,8,0.8,0.8,0.8
46,16,7,0.7,0.8,0.6
47,19,7,0.7,0.8,0.6
48,20,5,0.5,0.8,0.2
49,25,6,0.6,0.8,0.4
50,26,9,0.9,0.8,1.0
51,27,8,0.8,0.8,0.8
52,28,6,0.6,0.8,0.4
53,30,7,0.7,0.8,0.6
54,31,8,0.8,0.8,0.8
55,32,7,0.7,0.8,0.6
56,33,6,0.6,0.8,0.4
57,36,8,0.8,0.8,0.8
58,44,8,0.8,0.8,0.8
59,48,7,0.7,0.8,0.6
60,51,8,0.8,0.8,0.8
61,54,8,0.8,0.8,0.8
62,55,6,0.6,0.8,0.4
63,57,8,0.8,0.8,0.8
64,61,7,0.7,0.8,0.6
65,62,8,0.8,0.8,0.8
66,64,8,0.8,0.8,0.8
67,65,8,0.8,0.8,0.8
68,75,5,0.5,0.8,0.2
69,76,8,0.8,0.8,0.8
70,87,6,0.6,0.8,0.4
71,89,8,0.8,0.8,0.8
72,90,7,0.7,0.8,0.6
73,93,8,0.8,0.8,0.8
74,94,6,0.6,0.8,0.4
75,99,7,0.7,0.8,0.6
76,100,7,0.7,0.8,0.6
77,101,6,0.6,0.8,0.4
78,102,7,0.7,0.8,0.6
79,103,7,0.7,0.8,0.6
80,104,7,0.7,0.8,0.6
81,108,7,0.7,0.8,0.6
82,110,7,0.7,0.8,0.6
83,111,7,0.7,0.8,0.6
84,114,6,0.6,0.8,0.4
85,117,7,0.7,0.8,0.6
86,118,7,0.7,0.8,0.6
87,121,5,0.5,0.8,0.2
88,122,6,0.6,0.8,0.4
89,123,8,0.8,0.8,0.8
90,124,7,0.7,0.8,0.6
91,125,7,0.7,0.8,0.6
92,128,8,0.8,0.8,0.8
93,132,5,0.5,0.8,0.2
94,142,7,0.7,0.8,0.6
95,143,5,0.5,0.8,0.2
96,149,6,0.6,0.8,0.4
97,150,6,0.6,0.8,0.4
98,152,7,0.7,0.8,0.6
99,153,8,0.8,0.8,0.8
100,157,9,0.9,0.8,1.0
101,159,7,0.7,0.8,0.6
102,162,7,0.7,0.8,0.6
103,164,6,0.6,0.8,0.4
104,166,9,0.9,0.8,1.0
105,168,8,0.8,0.8,0.8
106,9,5,0.5,0.6,0.4
107,10,6,0.6,0.6,0.6
108,11,5,0.5,0.6,0.4
109,17,7,0.7,0.6,0.8
110,21,5,0.5,0.6,0.4
111,22,6,0.6,0.6,0.6
112,23,6,0.6,0.6,0.6
113,24,5,0.5,0.6,0.4
114,37,6,0.6,0.6,0.6
115,41,6,0.6,0.6,0.6
116,43,7,0.7,0.6,0.8
117,45,7,0.7,0.6,0.8
118,47,5,0.5,0.6,0.4
119,50,4,0.4,0.6,0.2
120,52,5,0.5,0.6,0.4
121,53,7,0.7,0.6,0.8
122,72,5,0.5,0.6,0.4
123,77,6,0.6,0.6,0.6
124,82,6,0.6,0.6,0.6
125,83,5,0.5,0.6,0.4
126,95,6,0.6,0.6,0.6
127,96,4,0.4,0.6,0.2
128,97,6,0.6,0.6,0.6
129,98,5,0.5,0.6,0.4
130,105,5,0.5,0.6,0.4
131,107,6,0.6,0.6,0.6
132,115,5,0.5,0.6,0.4
133,116,5,0.5,0.6,0.4
134,127,7,0.7,0.6,0.8
135,129,7,0.7,0.6,0.8
136,131,7,0.7,0.6,0.8
137,134,6,0.6,0.6,0.6
138,135,6,0.6,0.6,0.6
139,138,6,0.6,0.6,0.6
140,144,6,0.6,0.6,0.6
141,145,7,0.7,0.6,0.8
142,146,6,0.6,0.6,0.6
143,148,5,0.5,0.6,0.4
144,155,5,0.5,0.6,0.4
145,161,5,0.5,0.6,0.4
146,163,5,0.5,0.6,0.4
147,167,6,0.6,0.6,0.6
148,1,4,0.4,0.4,0.4
149,3,5,0.5,0.4,0.6
150,5,5,0.5,0.4,0.6
151,8,6,0.6,0.4,0.8
152,12,4,0.4,0.4,0.4
153,14,4,0.4,0.4,0.4
154,39,5,0.5,0.4,0.6
155,42,5,0.5,0.4,0.6
156,59,5,0.5,0.4,0.6
157,60,6,0.6,0.4,0.8
158,63,4,0.4,0.4,0.4
159,68,6,0.6,0.4,0.8
160,71,6,0.6,0.4,0.8
161,78,4,0.4,0.4,0.4
162,88,4,0.4,0.4,0.4
163,112,5,0.5,0.4,0.6
164,119,5,0.5,0.4,0.6
165,133,6,0.6,0.4,0.8
166,113,4,0.4,0.2,0.6
167,156,3,0.3,0.2,0.4
168,86,3,0.3,0.0,0.6
169,169,0,0.0,0.0,0.0
