,Feature,Occurence(s),Probability
0,20,5,1.0
1,37,5,1.0
2,151,5,1.0
3,7,4,0.8
4,26,4,0.8
5,29,4,0.8
6,31,4,0.8
7,32,4,0.8
8,34,4,0.8
9,40,4,0.8
10,43,4,0.8
11,50,4,0.8
12,55,4,0.8
13,111,4,0.8
14,18,3,0.6
15,23,3,0.6
16,24,3,0.6
17,46,3,0.6
18,48,3,0.6
19,49,3,0.6
20,52,3,0.6
21,58,3,0.6
22,60,3,0.6
23,64,3,0.6
24,114,3,0.6
25,140,3,0.6
26,2,2,0.4
27,3,2,0.4
28,6,2,0.4
29,17,2,0.4
30,41,2,0.4
31,56,2,0.4
32,59,2,0.4
33,63,2,0.4
34,73,2,0.4
35,74,2,0.4
36,75,2,0.4
37,77,2,0.4
38,79,2,0.4
39,82,2,0.4
40,86,2,0.4
41,87,2,0.4
42,90,2,0.4
43,92,2,0.4
44,93,2,0.4
45,94,2,0.4
46,97,2,0.4
47,98,2,0.4
48,100,2,0.4
49,105,2,0.4
50,107,2,0.4
51,108,2,0.4
52,109,2,0.4
53,116,2,0.4
54,118,2,0.4
55,121,2,0.4
56,126,2,0.4
57,134,2,0.4
58,153,2,0.4
59,160,2,0.4
60,1,1,0.2
61,4,1,0.2
62,15,1,0.2
63,16,1,0.2
64,22,1,0.2
65,25,1,0.2
66,33,1,0.2
67,35,1,0.2
68,36,1,0.2
69,38,1,0.2
70,39,1,0.2
71,42,1,0.2
72,53,1,0.2
73,54,1,0.2
74,62,1,0.2
75,65,1,0.2
76,68,1,0.2
77,70,1,0.2
78,71,1,0.2
79,78,1,0.2
80,80,1,0.2
81,81,1,0.2
82,83,1,0.2
83,84,1,0.2
84,85,1,0.2
85,89,1,0.2
86,91,1,0.2
87,96,1,0.2
88,99,1,0.2
89,102,1,0.2
90,103,1,0.2
91,104,1,0.2
92,106,1,0.2
93,112,1,0.2
94,119,1,0.2
95,122,1,0.2
96,125,1,0.2
97,127,1,0.2
98,128,1,0.2
99,131,1,0.2
100,132,1,0.2
101,135,1,0.2
102,136,1,0.2
103,142,1,0.2
104,143,1,0.2
105,145,1,0.2
106,147,1,0.2
107,156,1,0.2
108,161,1,0.2
109,162,1,0.2
110,163,1,0.2
111,166,1,0.2
112,167,1,0.2
113,168,1,0.2
114,0,0,0.0
115,5,0,0.0
116,8,0,0.0
117,9,0,0.0
118,10,0,0.0
119,11,0,0.0
120,12,0,0.0
121,13,0,0.0
122,14,0,0.0
123,19,0,0.0
124,21,0,0.0
125,27,0,0.0
126,28,0,0.0
127,30,0,0.0
128,44,0,0.0
129,45,0,0.0
130,47,0,0.0
131,51,0,0.0
132,57,0,0.0
133,61,0,0.0
134,66,0,0.0
135,67,0,0.0
136,69,0,0.0
137,72,0,0.0
138,76,0,0.0
139,88,0,0.0
140,95,0,0.0
141,101,0,0.0
142,110,0,0.0
143,113,0,0.0
144,115,0,0.0
145,117,0,0.0
146,120,0,0.0
147,123,0,0.0
148,124,0,0.0
149,129,0,0.0
150,130,0,0.0
151,133,0,0.0
152,137,0,0.0
153,138,0,0.0
154,139,0,0.0
155,141,0,0.0
156,144,0,0.0
157,146,0,0.0
158,148,0,0.0
159,149,0,0.0
160,150,0,0.0
161,152,0,0.0
162,154,0,0.0
163,155,0,0.0
164,157,0,0.0
165,158,0,0.0
166,159,0,0.0
167,164,0,0.0
168,165,0,0.0
169,169,0,0.0
