,Feature,Occurence(s),Probability
0,0,5,1.0
1,2,5,1.0
2,4,5,1.0
3,6,5,1.0
4,18,5,1.0
5,29,5,1.0
6,34,5,1.0
7,35,5,1.0
8,38,5,1.0
9,40,5,1.0
10,46,5,1.0
11,49,5,1.0
12,56,5,1.0
13,58,5,1.0
14,66,5,1.0
15,67,5,1.0
16,69,5,1.0
17,70,5,1.0
18,73,5,1.0
19,74,5,1.0
20,79,5,1.0
21,80,5,1.0
22,81,5,1.0
23,84,5,1.0
24,85,5,1.0
25,91,5,1.0
26,92,5,1.0
27,106,5,1.0
28,109,5,1.0
29,120,5,1.0
30,126,5,1.0
31,130,5,1.0
32,136,5,1.0
33,137,5,1.0
34,139,5,1.0
35,140,5,1.0
36,141,5,1.0
37,147,5,1.0
38,151,5,1.0
39,154,5,1.0
40,158,5,1.0
41,160,5,1.0
42,165,5,1.0
43,7,4,0.8
44,13,4,0.8
45,15,4,0.8
46,16,4,0.8
47,19,4,0.8
48,20,4,0.8
49,25,4,0.8
50,26,4,0.8
51,27,4,0.8
52,28,4,0.8
53,30,4,0.8
54,31,4,0.8
55,32,4,0.8
56,33,4,0.8
57,36,4,0.8
58,44,4,0.8
59,48,4,0.8
60,51,4,0.8
61,54,4,0.8
62,55,4,0.8
63,57,4,0.8
64,61,4,0.8
65,62,4,0.8
66,64,4,0.8
67,65,4,0.8
68,75,4,0.8
69,76,4,0.8
70,87,4,0.8
71,89,4,0.8
72,90,4,0.8
73,93,4,0.8
74,94,4,0.8
75,99,4,0.8
76,100,4,0.8
77,101,4,0.8
78,102,4,0.8
79,103,4,0.8
80,104,4,0.8
81,108,4,0.8
82,110,4,0.8
83,111,4,0.8
84,114,4,0.8
85,117,4,0.8
86,118,4,0.8
87,121,4,0.8
88,122,4,0.8
89,123,4,0.8
90,124,4,0.8
91,125,4,0.8
92,128,4,0.8
93,132,4,0.8
94,142,4,0.8
95,143,4,0.8
96,149,4,0.8
97,150,4,0.8
98,152,4,0.8
99,153,4,0.8
100,157,4,0.8
101,159,4,0.8
102,162,4,0.8
103,164,4,0.8
104,166,4,0.8
105,168,4,0.8
106,9,3,0.6
107,10,3,0.6
108,11,3,0.6
109,17,3,0.6
110,21,3,0.6
111,22,3,0.6
112,23,3,0.6
113,24,3,0.6
114,37,3,0.6
115,41,3,0.6
116,43,3,0.6
117,45,3,0.6
118,47,3,0.6
119,50,3,0.6
120,52,3,0.6
121,53,3,0.6
122,72,3,0.6
123,77,3,0.6
124,82,3,0.6
125,83,3,0.6
126,95,3,0.6
127,96,3,0.6
128,97,3,0.6
129,98,3,0.6
130,105,3,0.6
131,107,3,0.6
132,115,3,0.6
133,116,3,0.6
134,127,3,0.6
135,129,3,0.6
136,131,3,0.6
137,134,3,0.6
138,135,3,0.6
139,138,3,0.6
140,144,3,0.6
141,145,3,0.6
142,146,3,0.6
143,148,3,0.6
144,155,3,0.6
145,161,3,0.6
146,163,3,0.6
147,167,3,0.6
148,1,2,0.4
149,3,2,0.4
150,5,2,0.4
151,8,2,0.4
152,12,2,0.4
153,14,2,0.4
154,39,2,0.4
155,42,2,0.4
156,59,2,0.4
157,60,2,0.4
158,63,2,0.4
159,68,2,0.4
160,71,2,0.4
161,78,2,0.4
162,88,2,0.4
163,112,2,0.4
164,119,2,0.4
165,133,2,0.4
166,113,1,0.2
167,156,1,0.2
168,86,0,0.0
169,169,0,0.0
