,Feature,Occurence(s),Probability
0,20,5,1.0
1,26,5,1.0
2,58,5,1.0
3,95,5,1.0
4,100,5,1.0
5,103,5,1.0
6,132,5,1.0
7,148,5,1.0
8,165,5,1.0
9,168,5,1.0
10,2,4,0.8
11,11,4,0.8
12,14,4,0.8
13,16,4,0.8
14,18,4,0.8
15,21,4,0.8
16,22,4,0.8
17,25,4,0.8
18,28,4,0.8
19,29,4,0.8
20,30,4,0.8
21,31,4,0.8
22,32,4,0.8
23,33,4,0.8
24,34,4,0.8
25,35,4,0.8
26,37,4,0.8
27,40,4,0.8
28,43,4,0.8
29,45,4,0.8
30,50,4,0.8
31,51,4,0.8
32,54,4,0.8
33,55,4,0.8
34,59,4,0.8
35,60,4,0.8
36,67,4,0.8
37,69,4,0.8
38,70,4,0.8
39,75,4,0.8
40,80,4,0.8
41,82,4,0.8
42,83,4,0.8
43,85,4,0.8
44,87,4,0.8
45,89,4,0.8
46,91,4,0.8
47,94,4,0.8
48,108,4,0.8
49,112,4,0.8
50,115,4,0.8
51,119,4,0.8
52,123,4,0.8
53,129,4,0.8
54,131,4,0.8
55,133,4,0.8
56,136,4,0.8
57,138,4,0.8
58,144,4,0.8
59,145,4,0.8
60,150,4,0.8
61,158,4,0.8
62,159,4,0.8
63,167,4,0.8
64,0,3,0.6
65,1,3,0.6
66,5,3,0.6
67,7,3,0.6
68,10,3,0.6
69,12,3,0.6
70,13,3,0.6
71,15,3,0.6
72,24,3,0.6
73,36,3,0.6
74,38,3,0.6
75,42,3,0.6
76,47,3,0.6
77,48,3,0.6
78,49,3,0.6
79,52,3,0.6
80,53,3,0.6
81,56,3,0.6
82,57,3,0.6
83,61,3,0.6
84,62,3,0.6
85,63,3,0.6
86,64,3,0.6
87,65,3,0.6
88,66,3,0.6
89,73,3,0.6
90,76,3,0.6
91,77,3,0.6
92,79,3,0.6
93,84,3,0.6
94,86,3,0.6
95,90,3,0.6
96,92,3,0.6
97,93,3,0.6
98,97,3,0.6
99,101,3,0.6
100,104,3,0.6
101,106,3,0.6
102,110,3,0.6
103,111,3,0.6
104,113,3,0.6
105,118,3,0.6
106,122,3,0.6
107,125,3,0.6
108,128,3,0.6
109,134,3,0.6
110,139,3,0.6
111,140,3,0.6
112,141,3,0.6
113,149,3,0.6
114,151,3,0.6
115,153,3,0.6
116,154,3,0.6
117,155,3,0.6
118,156,3,0.6
119,157,3,0.6
120,160,3,0.6
121,162,3,0.6
122,163,3,0.6
123,164,3,0.6
124,166,3,0.6
125,3,2,0.4
126,4,2,0.4
127,6,2,0.4
128,9,2,0.4
129,17,2,0.4
130,19,2,0.4
131,23,2,0.4
132,27,2,0.4
133,39,2,0.4
134,41,2,0.4
135,44,2,0.4
136,46,2,0.4
137,68,2,0.4
138,71,2,0.4
139,72,2,0.4
140,74,2,0.4
141,78,2,0.4
142,81,2,0.4
143,88,2,0.4
144,96,2,0.4
145,98,2,0.4
146,99,2,0.4
147,102,2,0.4
148,107,2,0.4
149,109,2,0.4
150,114,2,0.4
151,116,2,0.4
152,117,2,0.4
153,120,2,0.4
154,121,2,0.4
155,126,2,0.4
156,127,2,0.4
157,130,2,0.4
158,135,2,0.4
159,137,2,0.4
160,142,2,0.4
161,147,2,0.4
162,152,2,0.4
163,8,1,0.2
164,105,1,0.2
165,124,1,0.2
166,143,1,0.2
167,146,1,0.2
168,161,1,0.2
169,169,0,0.0
