,Feature,Occurence(s),Probability
0,151,5,1.0
1,161,5,1.0
2,113,4,0.8
3,160,4,0.8
4,162,4,0.8
5,5,3,0.6
6,9,3,0.6
7,12,3,0.6
8,27,3,0.6
9,100,3,0.6
10,101,3,0.6
11,110,3,0.6
12,120,3,0.6
13,144,3,0.6
14,145,3,0.6
15,152,3,0.6
16,158,3,0.6
17,8,2,0.4
18,10,2,0.4
19,11,2,0.4
20,14,2,0.4
21,15,2,0.4
22,33,2,0.4
23,66,2,0.4
24,67,2,0.4
25,80,2,0.4
26,88,2,0.4
27,91,2,0.4
28,95,2,0.4
29,121,2,0.4
30,124,2,0.4
31,130,2,0.4
32,137,2,0.4
33,146,2,0.4
34,148,2,0.4
35,154,2,0.4
36,164,2,0.4
37,0,1,0.2
38,2,1,0.2
39,4,1,0.2
40,13,1,0.2
41,28,1,0.2
42,36,1,0.2
43,38,1,0.2
44,41,1,0.2
45,47,1,0.2
46,49,1,0.2
47,51,1,0.2
48,53,1,0.2
49,69,1,0.2
50,71,1,0.2
51,82,1,0.2
52,94,1,0.2
53,105,1,0.2
54,123,1,0.2
55,125,1,0.2
56,129,1,0.2
57,133,1,0.2
58,139,1,0.2
59,141,1,0.2
60,147,1,0.2
61,149,1,0.2
62,156,1,0.2
63,157,1,0.2
64,163,1,0.2
65,165,1,0.2
66,1,0,0.0
67,3,0,0.0
68,6,0,0.0
69,7,0,0.0
70,16,0,0.0
71,17,0,0.0
72,18,0,0.0
73,19,0,0.0
74,20,0,0.0
75,21,0,0.0
76,22,0,0.0
77,23,0,0.0
78,24,0,0.0
79,25,0,0.0
80,26,0,0.0
81,29,0,0.0
82,30,0,0.0
83,31,0,0.0
84,32,0,0.0
85,34,0,0.0
86,35,0,0.0
87,37,0,0.0
88,39,0,0.0
89,40,0,0.0
90,42,0,0.0
91,43,0,0.0
92,44,0,0.0
93,45,0,0.0
94,46,0,0.0
95,48,0,0.0
96,50,0,0.0
97,52,0,0.0
98,54,0,0.0
99,55,0,0.0
100,56,0,0.0
101,57,0,0.0
102,58,0,0.0
103,59,0,0.0
104,60,0,0.0
105,61,0,0.0
106,62,0,0.0
107,63,0,0.0
108,64,0,0.0
109,65,0,0.0
110,68,0,0.0
111,70,0,0.0
112,72,0,0.0
113,73,0,0.0
114,74,0,0.0
115,75,0,0.0
116,76,0,0.0
117,77,0,0.0
118,78,0,0.0
119,79,0,0.0
120,81,0,0.0
121,83,0,0.0
122,84,0,0.0
123,85,0,0.0
124,86,0,0.0
125,87,0,0.0
126,89,0,0.0
127,90,0,0.0
128,92,0,0.0
129,93,0,0.0
130,96,0,0.0
131,97,0,0.0
132,98,0,0.0
133,99,0,0.0
134,102,0,0.0
135,103,0,0.0
136,104,0,0.0
137,106,0,0.0
138,107,0,0.0
139,108,0,0.0
140,109,0,0.0
141,111,0,0.0
142,112,0,0.0
143,114,0,0.0
144,115,0,0.0
145,116,0,0.0
146,117,0,0.0
147,118,0,0.0
148,119,0,0.0
149,122,0,0.0
150,126,0,0.0
151,127,0,0.0
152,128,0,0.0
153,131,0,0.0
154,132,0,0.0
155,134,0,0.0
156,135,0,0.0
157,136,0,0.0
158,138,0,0.0
159,140,0,0.0
160,142,0,0.0
161,143,0,0.0
162,150,0,0.0
163,153,0,0.0
164,155,0,0.0
165,159,0,0.0
166,166,0,0.0
167,167,0,0.0
168,168,0,0.0
169,169,0,0.0
