,Feature,Occurence(s),Probability
0,4,5,1.0
1,18,5,1.0
2,94,5,1.0
3,112,5,1.0
4,128,5,1.0
5,131,5,1.0
6,151,5,1.0
7,19,4,0.8
8,29,4,0.8
9,33,4,0.8
10,37,4,0.8
11,38,4,0.8
12,39,4,0.8
13,46,4,0.8
14,52,4,0.8
15,57,4,0.8
16,62,4,0.8
17,72,4,0.8
18,75,4,0.8
19,76,4,0.8
20,80,4,0.8
21,81,4,0.8
22,92,4,0.8
23,96,4,0.8
24,100,4,0.8
25,102,4,0.8
26,106,4,0.8
27,113,4,0.8
28,126,4,0.8
29,157,4,0.8
30,160,4,0.8
31,163,4,0.8
32,0,3,0.6
33,1,3,0.6
34,3,3,0.6
35,6,3,0.6
36,15,3,0.6
37,16,3,0.6
38,21,3,0.6
39,24,3,0.6
40,25,3,0.6
41,26,3,0.6
42,27,3,0.6
43,28,3,0.6
44,31,3,0.6
45,35,3,0.6
46,40,3,0.6
47,42,3,0.6
48,43,3,0.6
49,48,3,0.6
50,49,3,0.6
51,55,3,0.6
52,58,3,0.6
53,59,3,0.6
54,60,3,0.6
55,64,3,0.6
56,68,3,0.6
57,73,3,0.6
58,77,3,0.6
59,78,3,0.6
60,82,3,0.6
61,85,3,0.6
62,87,3,0.6
63,89,3,0.6
64,91,3,0.6
65,95,3,0.6
66,97,3,0.6
67,98,3,0.6
68,99,3,0.6
69,104,3,0.6
70,109,3,0.6
71,118,3,0.6
72,119,3,0.6
73,122,3,0.6
74,127,3,0.6
75,132,3,0.6
76,136,3,0.6
77,139,3,0.6
78,140,3,0.6
79,144,3,0.6
80,146,3,0.6
81,147,3,0.6
82,158,3,0.6
83,167,3,0.6
84,2,2,0.4
85,5,2,0.4
86,7,2,0.4
87,9,2,0.4
88,10,2,0.4
89,11,2,0.4
90,12,2,0.4
91,14,2,0.4
92,17,2,0.4
93,20,2,0.4
94,22,2,0.4
95,23,2,0.4
96,30,2,0.4
97,32,2,0.4
98,34,2,0.4
99,36,2,0.4
100,41,2,0.4
101,44,2,0.4
102,47,2,0.4
103,63,2,0.4
104,65,2,0.4
105,66,2,0.4
106,67,2,0.4
107,69,2,0.4
108,74,2,0.4
109,79,2,0.4
110,83,2,0.4
111,88,2,0.4
112,90,2,0.4
113,93,2,0.4
114,101,2,0.4
115,103,2,0.4
116,105,2,0.4
117,107,2,0.4
118,108,2,0.4
119,111,2,0.4
120,114,2,0.4
121,116,2,0.4
122,120,2,0.4
123,121,2,0.4
124,123,2,0.4
125,124,2,0.4
126,130,2,0.4
127,141,2,0.4
128,142,2,0.4
129,148,2,0.4
130,149,2,0.4
131,152,2,0.4
132,153,2,0.4
133,154,2,0.4
134,155,2,0.4
135,156,2,0.4
136,162,2,0.4
137,164,2,0.4
138,165,2,0.4
139,168,2,0.4
140,8,1,0.2
141,13,1,0.2
142,45,1,0.2
143,50,1,0.2
144,51,1,0.2
145,53,1,0.2
146,54,1,0.2
147,61,1,0.2
148,70,1,0.2
149,71,1,0.2
150,84,1,0.2
151,86,1,0.2
152,110,1,0.2
153,115,1,0.2
154,117,1,0.2
155,125,1,0.2
156,129,1,0.2
157,133,1,0.2
158,134,1,0.2
159,135,1,0.2
160,137,1,0.2
161,138,1,0.2
162,143,1,0.2
163,145,1,0.2
164,150,1,0.2
165,159,1,0.2
166,161,1,0.2
167,166,1,0.2
168,56,0,0.0
169,169,0,0.0
