,Feature,Occurence(s),Probability overall,Probability in SFS,Probability in SBS
0,4,7,0.7,1.0,0.4
1,18,9,0.9,1.0,0.8
2,94,9,0.9,1.0,0.8
3,112,9,0.9,1.0,0.8
4,128,8,0.8,1.0,0.6
5,131,9,0.9,1.0,0.8
6,151,8,0.8,1.0,0.6
7,19,6,0.6,0.8,0.4
8,29,8,0.8,0.8,0.8
9,33,8,0.8,0.8,0.8
10,37,8,0.8,0.8,0.8
11,38,7,0.7,0.8,0.6
12,39,6,0.6,0.8,0.4
13,46,6,0.6,0.8,0.4
14,52,7,0.7,0.8,0.6
15,57,7,0.7,0.8,0.6
16,62,7,0.7,0.8,0.6
17,72,6,0.6,0.8,0.4
18,75,8,0.8,0.8,0.8
19,76,7,0.7,0.8,0.6
20,80,8,0.8,0.8,0.8
21,81,6,0.6,0.8,0.4
22,92,7,0.7,0.8,0.6
23,96,6,0.6,0.8,0.4
24,100,9,0.9,0.8,1.0
25,102,6,0.6,0.8,0.4
26,106,7,0.7,0.8,0.6
27,113,7,0.7,0.8,0.6
28,126,6,0.6,0.8,0.4
29,157,7,0.7,0.8,0.6
30,160,7,0.7,0.8,0.6
31,163,7,0.7,0.8,0.6
32,0,6,0.6,0.6,0.6
33,1,6,0.6,0.6,0.6
34,3,5,0.5,0.6,0.4
35,6,5,0.5,0.6,0.4
36,15,6,0.6,0.6,0.6
37,16,7,0.7,0.6,0.8
38,21,7,0.7,0.6,0.8
39,24,6,0.6,0.6,0.6
40,25,7,0.7,0.6,0.8
41,26,8,0.8,0.6,1.0
42,27,5,0.5,0.6,0.4
43,28,7,0.7,0.6,0.8
44,31,7,0.7,0.6,0.8
45,35,7,0.7,0.6,0.8
46,40,7,0.7,0.6,0.8
47,42,6,0.6,0.6,0.6
48,43,7,0.7,0.6,0.8
49,48,6,0.6,0.6,0.6
50,49,6,0.6,0.6,0.6
51,55,7,0.7,0.6,0.8
52,58,8,0.8,0.6,1.0
53,59,7,0.7,0.6,0.8
54,60,7,0.7,0.6,0.8
55,64,6,0.6,0.6,0.6
56,68,5,0.5,0.6,0.4
57,73,6,0.6,0.6,0.6
58,77,6,0.6,0.6,0.6
59,78,5,0.5,0.6,0.4
60,82,7,0.7,0.6,0.8
61,85,7,0.7,0.6,0.8
62,87,7,0.7,0.6,0.8
63,89,7,0.7,0.6,0.8
64,91,7,0.7,0.6,0.8
65,95,8,0.8,0.6,1.0
66,97,6,0.6,0.6,0.6
67,98,5,0.5,0.6,0.4
68,99,5,0.5,0.6,0.4
69,104,6,0.6,0.6,0.6
70,109,5,0.5,0.6,0.4
71,118,6,0.6,0.6,0.6
72,119,7,0.7,0.6,0.8
73,122,6,0.6,0.6,0.6
74,127,5,0.5,0.6,0.4
75,132,8,0.8,0.6,1.0
76,136,7,0.7,0.6,0.8
77,139,6,0.6,0.6,0.6
78,140,6,0.6,0.6,0.6
79,144,7,0.7,0.6,0.8
80,146,4,0.4,0.6,0.2
81,147,5,0.5,0.6,0.4
82,158,7,0.7,0.6,0.8
83,167,7,0.7,0.6,0.8
84,2,6,0.6,0.4,0.8
85,5,5,0.5,0.4,0.6
86,7,5,0.5,0.4,0.6
87,9,4,0.4,0.4,0.4
88,10,5,0.5,0.4,0.6
89,11,6,0.6,0.4,0.8
90,12,5,0.5,0.4,0.6
