,Feature,Occurence(s),Probability
0,151,5,1.0
1,160,5,1.0
2,161,5,1.0
3,163,5,1.0
4,164,4,0.8
5,165,4,0.8
6,166,4,0.8
7,167,4,0.8
8,168,4,0.8
9,6,3,0.6
10,13,3,0.6
11,32,3,0.6
12,49,3,0.6
13,134,3,0.6
14,139,3,0.6
15,162,3,0.6
16,1,2,0.4
17,7,2,0.4
18,17,2,0.4
19,18,2,0.4
20,20,2,0.4
21,22,2,0.4
22,24,2,0.4
23,25,2,0.4
24,27,2,0.4
25,38,2,0.4
26,43,2,0.4
27,44,2,0.4
28,50,2,0.4
29,62,2,0.4
30,71,2,0.4
31,82,2,0.4
32,85,2,0.4
33,93,2,0.4
34,100,2,0.4
35,105,2,0.4
36,109,2,0.4
37,121,2,0.4
38,123,2,0.4
39,145,2,0.4
40,147,2,0.4
41,155,2,0.4
42,158,2,0.4
43,2,1,0.2
44,15,1,0.2
45,16,1,0.2
46,19,1,0.2
47,21,1,0.2
48,23,1,0.2
49,29,1,0.2
50,30,1,0.2
51,37,1,0.2
52,40,1,0.2
53,41,1,0.2
54,42,1,0.2
55,46,1,0.2
56,47,1,0.2
57,48,1,0.2
58,52,1,0.2
59,53,1,0.2
60,54,1,0.2
61,57,1,0.2
62,60,1,0.2
63,63,1,0.2
64,64,1,0.2
65,65,1,0.2
66,66,1,0.2
67,68,1,0.2
68,69,1,0.2
69,74,1,0.2
70,76,1,0.2
71,81,1,0.2
72,87,1,0.2
73,89,1,0.2
74,91,1,0.2
75,94,1,0.2
76,101,1,0.2
77,104,1,0.2
78,106,1,0.2
79,111,1,0.2
80,117,1,0.2
81,118,1,0.2
82,124,1,0.2
83,126,1,0.2
84,131,1,0.2
85,141,1,0.2
86,149,1,0.2
87,150,1,0.2
88,152,1,0.2
89,153,1,0.2
90,157,1,0.2
91,0,0,0.0
92,3,0,0.0
93,4,0,0.0
94,5,0,0.0
95,8,0,0.0
96,9,0,0.0
97,10,0,0.0
98,11,0,0.0
99,12,0,0.0
100,14,0,0.0
101,26,0,0.0
102,28,0,0.0
103,31,0,0.0
104,33,0,0.0
105,34,0,0.0
106,35,0,0.0
107,36,0,0.0
108,39,0,0.0
109,45,0,0.0
110,51,0,0.0
111,55,0,0.0
112,56,0,0.0
113,58,0,0.0
114,59,0,0.0
115,61,0,0.0
116,67,0,0.0
117,70,0,0.0
118,72,0,0.0
119,73,0,0.0
120,75,0,0.0
121,77,0,0.0
122,78,0,0.0
123,79,0,0.0
124,80,0,0.0
125,83,0,0.0
126,84,0,0.0
127,86,0,0.0
128,88,0,0.0
129,90,0,0.0
130,92,0,0.0
131,95,0,0.0
132,96,0,0.0
133,97,0,0.0
134,98,0,0.0
135,99,0,0.0
136,102,0,0.0
137,103,0,0.0
138,107,0,0.0
139,108,0,0.0
140,110,0,0.0
141,112,0,0.0
142,113,0,0.0
143,114,0,0.0
144,115,0,0.0
145,116,0,0.0
146,119,0,0.0
147,120,0,0.0
148,122,0,0.0
149,125,0,0.0
150,127,0,0.0
151,128,0,0.0
152,129,0,0.0
153,130,0,0.0
154,132,0,0.0
155,133,0,0.0
156,135,0,0.0
157,136,0,0.0
158,137,0,0.0
159,138,0,0.0
160,140,0,0.0
161,142,0,0.0
162,143,0,0.0
163,144,0,0.0
164,146,0,0.0
165,148,0,0.0
166,154,0,0.0
167,156,0,0.0
168,159,0,0.0
169,169,0,0.0
