Occurences,Feature
151,5
160,5
161,5
163,5
164,4
165,4
166,4
167,4
168,4
6,3
13,3
32,3
49,3
134,3
139,3
162,3
1,2
7,2
17,2
18,2
20,2
22,2
24,2
25,2
27,2
38,2
43,2
44,2
50,2
62,2
71,2
82,2
85,2
93,2
100,2
105,2
109,2
121,2
123,2
145,2
147,2
155,2
158,2
2,1
15,1
16,1
19,1
21,1
23,1
29,1
30,1
37,1
40,1
41,1
42,1
46,1
47,1
48,1
52,1
53,1
54,1
57,1
60,1
63,1
64,1
65,1
66,1
68,1
69,1
74,1
76,1
81,1
87,1
89,1
91,1
94,1
101,1
104,1
106,1
111,1
117,1
118,1
124,1
126,1
131,1
141,1
149,1
150,1
152,1
153,1
157,1
0,0
3,0
4,0
5,0
8,0
9,0
10,0
11,0
12,0
14,0
26,0
28,0
31,0
33,0
34,0
35,0
36,0
39,0
45,0
51,0
55,0
56,0
58,0
59,0
61,0
67,0
70,0
72,0
73,0
75,0
77,0
78,0
79,0
80,0
83,0
84,0
86,0
88,0
90,0
92,0
95,0
96,0
97,0
98,0
99,0
102,0
103,0
107,0
108,0
110,0
112,0
113,0
114,0
115,0
116,0
119,0
120,0
122,0
125,0
127,0
128,0
129,0
130,0
132,0
133,0
135,0
136,0
137,0
138,0
140,0
142,0
143,0
144,0
146,0
148,0
154,0
156,0
159,0
169,0
